farm_name,zone,city,turbines,latitude,longitude
Chambón Fase 1,Palencia (Castilla y Leon),Astudillo,25,42.17,-4.278
Chambón Fase 2,Palencia (Castilla y Leon),Astudillo,14,42.17,-4.278
Chan do Tenón,Lugo (Galicia),O Vicedo,28,43.73,-7.67
Chantada,Lugo (Galicia),"Chantada (Lugo), Rodeiro (La Coruña)",30,42.649,-7.89
Chao das Grallas,Asturias,Villanueva de Oscos,14,43.354,-6.97
Chimiche II,SC Tenerife (Tenerife),Granadilla de Abona ,0,28.122,-16.579
Chinchilla,Albacete (Castilla-La Mancha),,9,38.92,-1.727
Chorreaderos Altos,Cadiz (Andalucía),"San José del Valle, Jeréz de la Frontera",11,36.69,-6.13
Chorreaderos Bajos,Cadiz (Andalucía),Jeréz de la Frontera,15,36.68,-6.13
Chumillas,Cuenca (Castilla-La Mancha),Olmedilla,25,39.755,-2.045
Ciesma de Grisel,Zaragoza (Aragon),Grisel,18,41.861,-1.724
Cinseiro,Zamora (Castilla y Leon),Lubián,8,42.03,-6.91
Clares,Guadalajara (Castilla-La Mancha),"Maranchón, Luzón",16,41.03,-2.24
Cofrentes,Valencia (Comunidad Valenciana),,13,39.238,-1.142
Cogollos II (Fase A),Burgos (Castilla y Leon),Cogollos ,22,42.201,-3.699
Cogollos II (Fase B),Burgos (Castilla y Leon),Cogollos ,3,42.201,-3.699
Coll de la garganta,Tarragona (Cataluna),"El Molar, Torre del Español, La Figuera",13,41.163,-0.705
Coll de Moro I y II,Tarragona (Cataluna),"Batea, Gandesa, Bot, Vilalba dels Arcs",20,41.12,-0.409
Coll del Panissot,Lleida (Cataluna),Almatret,3,41.283,-0.429
Colladillo,Avila (Castilla y Leon),"Valdecasa, Narrillos del Rebollar, Balbarda ",17,40.654,-4.981
Collet deis Feixos,Tarragona (Cataluna),Duesaigües,6,41.182,-0.92
Colombino,Offshore,,0,27.84,-15.35
Complejo medioambiental de Arico Fase I,SC Tenerife (Tenerife),Arico,2,28.152,-16.48
Conesa I,Tarragona (Cataluna),Conesa ,15,41.506,-1.262
Conesa II,Tarragona (Cataluna),"Conesa, Forés ",16,41.506,-1.262
Corbera,Tarragona (Cataluna),Corbera D´Ebre ,22,41.126,-0.479
Cordal de Montouto,La Coruna (Galicia),"Aranga, Guitiriz",6,43.228,-7.949
Coriscada,La Coruna (Galicia),"Mañón, Ortigueira",40,43.67,-7.73
Corme,La Coruna (Galicia),Ponteceso,68,43.284,-8.954
Corral Nuevo,Burgos (Castilla y Leon),Ayoluengo,20,42.743,-3.869
Corralejo,Las Palmas (Fuerteventura),Corralejo ,2,28.747,-13.874
Cortijo de Guerra I,Cadiz (Andalucía),Puerto Real,15,36.499,-6.074
Cortijo de Guerra II,Cadiz (Andalucía),Puerto Real,17,36.53,-6.19
Cortijo de Iruelas,Cadiz (Andalucía),Tarifa,17,36.01,-5.6
Cortijo La Linera,Málaga (Andalucía),"Campillos, Teba ",14,37.045,-4.861
Coruxeiras,Lugo (Galicia),Muras,31,43.489,-7.651
Corzán,La Coruna (Galicia),Negreira,48,42.923,-8.848
Coto de Codesas,La Coruna (Galicia),"Boimorto, Melida, Sobrado, Toques",20,42.989,-8.024
Coto de Codesas II,La Coruna (Galicia),"Sobrado, Boimorto ",25,42.989,-8.024
Coto Teixido,Lugo (Galicia),"As Pontes, Mañón",35,43.52,-7.73
Coucepenido,La Coruna (Galicia),"Cedeira, Ortigueira",38,43.72,-7.94
Couteiro,Lugo (Galicia),Ourol ,4,43.557,-7.636
Couto de San Sebastian,Pontevedra (Galicia),Concellos de Estrada,9,42.69,-8.49
Cova da Serpe,Lugo (Galicia),"Friol, Guitiriz ",12,43.092,-7.915
Cova da Serpe Ampliación,Lugo (Galicia),"Friol, Guitiriz",12,43.094,-7.9
Cristobailones,Ciudad Real (Castilla-La Mancha),"Membrilla, Valdepeñas, San Carlos del Valle, Alhambra",21,38.828,-3.309
Cruz de Carrutero ,Palencia (Castilla y Leon),"Cardeñosa de Volpejera, Villamuera de la Cueza, Villanueva de Rebollar ",24,42.251,-4.719
Cruz de Hierro,Avila (Castilla y Leon),"Sta, Maria del Cubillo",22,40.72,-4.47
Cruz de Hierro Ampliación,Avila (Castilla y Leon),"Sta, Maria del Cubillo",4,40.72,-4.47
Cruz I,Cuenca (Castilla-La Mancha),San Martín de Boniches,47,39.858,-1.58
Cruz II,Cuenca (Castilla-La Mancha),San Martín de Boniches,31,39.858,-1.58
Cuadramón,Lugo (Galicia),"Alfoz, Abadin",25,43.44,-7.42
Cuesta Colorada,Cuenca (Castilla-La Mancha),"Tébar, Atalaya Cañavete",33,39.466,-2.206
Cuesta Mañera,Palencia (Castilla y Leon),Ampudia,33,41.91,-4.78
Cueva Blanca,Las Palmas (Canarias),Agaete,4,28.104,-15.691
Cueva Dorada,Granada (Andalucía),Loja,23,37.17,-4.15
Cuevas de Velasco,Cuenca (Castilla-La Mancha),"Torrejoncillo del Rey, Huerta de la Obispalía",19,40.0,-2.528
Curiscao Fase I,Asturias,"Salas, Valdes",50,43.471,-6.309
Curiscao Fase II,Asturias,"Salas, Valdes ",8,43.471,-6.309
Currás,La Coruna (Galicia),Currasy Mazaricos,6,42.94,-8.99
Dehesa de Mallén,Zaragoza (Aragon),Mallén,0,41.885,-1.439
Dehesa de Tablares,Palencia (Castilla y Leon),Puebla de Valdivia ,1,42.675,-4.611
Dehesa del Coscojar,Zaragoza (Aragon),Plasencia de Jalón,25,41.711,-1.265
Dehesa Virginia,Albacete (Castilla-La Mancha),Alatoz,15,39.068,-1.343
DemoSATH,Offshore,,1,43.47,-2.88
Deva,Pontevedra (Galicia),"Melón (Ourense), Covelo, A Cañiza (Pontevedra)",66,42.266,-8.27
Do Vilán,La Coruna (Galicia),Camariñas,13,43.149,-9.19
Dólar I,Granada (Andalucía),"Huenéja, Dólar",25,37.18,-2.97
Dólar II,Granada (Andalucía),"Dólar, Ferreira",21,37.18,-3.01
Dólar III,Granada (Andalucía),"Dólar, Ferreira",4,37.18,-3.01
Doña Benita Cuellar,Cadiz (Andalucía),Jeréz de la Frontera,16,36.589,-5.991
Doramas,Las Palmas (Canarias),Agüimes ,1,27.904,-15.442
Dos Picos,Palencia (Castilla y Leon),Magaz de Pisuerga,2,41.989,-4.495
Dos Pueblos,Guadalajara (Castilla-La Mancha),"Miedes de Atienza, Bañuelos",10,41.28,-2.94
Dueñas,Palencia (Castilla y Leon),Costrarroleña,4,41.88,-4.55
DUNAS,Offshore,,0,27.82,-15.32
Echagüe,Navarra,"Oloriz, Unzué",36,42.67,-1.597
Ecovent CAT II y III,Tarragona (Cataluna),Tortosa,37,40.81,-0.52
EEE (Repotenciado),Cadiz (Andalucía),Tarifa,16,36.019,-5.603
El Acebo,Asturias,Grandas de Salime,27,43.148,-6.958
El Águila,Zaragoza (Aragon),Pedrola,15,41.728,-1.301
El Aguila II-Aguila III,Zaragoza (Aragon),"Pedrola, Aragón",9,41.789,-1.227
El Álamo,Málaga (Andalucía),Campillos ,18,37.045,-4.861
El Balsón,Huesca (Aragon),Gurrea de Gállego,9,42.013,-0.765
El Bancal,Cadiz (Andalucía),Tarifa,10,36.01,-5.6
El Bayo,Zaragoza (Aragon),"Pedrola, Luceni",60,41.788,-1.321
El Cabezo,Zaragoza (Aragon),María de Huerva,0,41.54,-0.996
El Cabrito,Cadiz (Andalucía),Tarifa,102,36.044,-5.562
El Cabrito-La Locustura (Laese),Cadiz (Andalucía),Tarifa,1,36.01,-5.6
El Campo (ES),Zaragoza (Aragon),"Mallén, Fréscano",6,41.885,-1.441
El Candal,Asturias,"Boal, Castropol",19,43.398,-6.93
El Canto,Burgos (Castilla y Leon),Valle de Manzanedo,29,42.9,-3.69
El Carrascal II,Almeria (Andalucía),"Serón, Tíjola",14,37.34,-2.47
El Carrascal I ,Almeria (Andalucía),"Serón, Tíjola",25,37.34,-2.47
El Carril,Burgos (Castilla y Leon),"Castrojeriz, Pedrosa del Príncipe",9,42.27,-4.17
El Carril II,Burgos (Castilla y Leon),"Castrojeriz, Pedrosa del Príncipe ",5,42.249,-4.199
El Castre,Palencia (Castilla y Leon),"Pedraza de Campos, Torremormojón ",16,41.973,-4.753
El Cayo,Soria (Castilla y Leon),"Oncala,Huérteles,S,Pedro Manrique",33,41.99,-2.325
El Centenar,Huelva (Andalucía),Puebla de Guzmán ,20,37.611,-7.246
El Cerro,Burgos (Castilla y Leon),"Valle de Sedano, los Alto de Dobro",30,42.87,-3.639
