farm_name,zone,city,turbines,latitude,longitude
Loma Gorda (Zaragoza),Zaragoza (Aragon),Fuendetodos,0,41.342,-0.962
Loma Viso,Albacete (Castilla-La Mancha),Albacete,1,39.044,-1.746
Loma Viso II ,Albacete (Castilla-La Mancha),Albacete ,1,39.044,-1.746
Lomas de las Peñuelas,Cadiz (Andalucía),Vejer de la frontera,3,36.254,-5.962
Lomas de Lecrín,Granada (Andalucía),Lecrín ,1,36.958,-3.575
Lomas de Manteca,Granada (Andalucía),Lecrín ,2,36.96,-3.572
Lomba (Lugo),Lugo (Galicia),"Xermade, Vilalba, Muras",30,43.36,-7.75
Lomba (Navarra),Navarra,Lodosa,3,42.442,-2.087
Lomillas,Cuenca (Castilla-La Mancha),Tébar,33,39.469,-2.171
Lomito Ramírez,Las Palmas (Canarias),Ingenio,1,27.93,-15.421
Lomo Cabezo,Las Palmas (Canarias),Agüimes ,3,27.886,-15.429
Lomo del Moral,Las Palmas (Canarias),San Bartolomé de Tirajana,5,27.802,-15.446
Los Alburejos,Cadiz (Andalucía),"Medina, Sidonia",5,36.459,-5.872
Los Angostillos,Palencia (Castilla y Leon),"Hornillos de Cerrato, Baltanás",14,41.975,-4.263
Los Arcos,Málaga (Andalucía),"Campillos, Teba, Almargen",0,37.032,-4.94
Los Barrancos,Málaga (Andalucía),Campillos ,10,37.045,-4.861
Los Campillos,Soria (Castilla y Leon),"Almazán, Barca, Velamazán",17,41.386,-2.571
Los Cantales,Zaragoza (Aragon),Rueda de Jalón,12,41.701,-1.353
Los Castríos,Burgos (Castilla y Leon),Espinosa de los Monteros,24,43.08,-3.55
Los Cerros (Unzué),Navarra,Unzué,3,42.65,-1.653
Los Cierzos,Zaragoza (Aragon),"Gallur, Magallón",0,41.846,-1.395
Los Collados,Burgos (Castilla y Leon),"Castrojeriz, Villasandino, Sasamon ",7,42.336,-4.108
Los Concejiles,Salamanca (Castilla y Leon),Sorihuela ,7,40.451,-5.702
Los Gigantes,Teruel (Aragon),"Blesa, Moyuela",0,41.051,-0.89
Los Granujales,Cadiz (Andalucía),Vejer de la Frontera,12,36.321,-5.963
Los Isletes,Cadiz (Andalucía),"San José del Valle, Jeréz de la Frontera ",16,36.564,-5.88
Los Jarales,Almeria (Andalucía),Abla ,8,37.18,-2.781
Los Labrados,Zaragoza (Aragon),"Zaragoza, Cadrete",32,41.56,-0.96
Los Lances,Cadiz (Andalucía),Tarifa,17,36.082,-5.663
Los Lirios,Huelva (Andalucía),San Silvestre de Gúzman ,24,37.374,-7.377
Los Llanos (Burgos),Burgos (Castilla y Leon),"Cogollos, Hontoria de la Cantera, Revillarruz",29,42.2,-3.7
Los Llanos (Málaga),Málaga (Andalucía),Casares,46,36.389,-5.284
Los Madroñales,Málaga (Andalucía),"Almargen, El Saucejo",17,37.002,-5.023
Los Monteros,Zaragoza (Aragon),Pedrola,0,41.789,-1.227
Los Morrones,Granada (Andalucía),"Baza, Zújar",15,37.503,-2.85
Los Pedreros,Albacete (Castilla-La Mancha),Fuente Alamo,30,38.701,-1.392
Los Siglos,Cadiz (Andalucía),Tarifa,10,36.01,-5.6
Los Sillones,Granada (Andalucía),Loja,23,37.17,-4.15
Los Valles,Las Palmas (Canarias),Teguise ,1,29.06,-13.564
Los Valles Repotenciado,Las Palmas (Canarias),Teguise ,9,29.095,-13.506
Los Visos,Zaragoza (Aragon),Rueda de Jalón,25,41.694,-1.414
Los Zapateros,Burgos (Castilla y Leon),"Los Balbases, Castrojeriz",26,42.214,-4.065
Losilla,Valencia (Comunidad Valenciana),Ayora ,16,39.058,-1.058
Lubián,Zamora (Castilla y Leon),Lubián,18,42.03,-6.91
Lubián Ampliación,Zamora (Castilla y Leon),Lubián,7,42.07,-6.91
Lucillo,Leon (Castilla y Leon),Lucillo,11,42.41,-6.3
Luna,Soria (Castilla y Leon),"Trévago, Fuentestrún, Valdegeña, Matalebreras, Villar del Campo",33,41.85,-2.1
Luzón Norte,Guadalajara (Castilla-La Mancha),"Maranchón, Luzón",19,41.051,-2.27
Magallón 26,Zaragoza (Aragon),Magallón,12,41.789,-1.422
Magaña,Soria (Castilla y Leon),Oncala,33,41.97,-2.31
Magaz,Palencia (Castilla y Leon),"Palencia, Magaz",15,41.992,-4.485
Majal Alto,Huelva (Andalucía),"Puebla de Guzmán, El Almendro ",25,37.611,-7.246
Majales,Albacete (Castilla-La Mancha),Masegoso,33,38.703,-2.381
Majogazas,Albacete (Castilla-La Mancha),"Penascosa, Masegoso",19,38.7,-2.35
Majogazas II,Albacete (Castilla-La Mancha),"Penascosa, Masegoso",14,38.7,-2.35
Malagón I,Ciudad Real (Castilla-La Mancha),"Fuente del Fresno, Los Cortijos",18,39.286,-4.052
Malagón II,Ciudad Real (Castilla-La Mancha),"Fuente del Fresno, Los Cortijos",25,39.286,-4.052
Malefatón,Albacete (Castilla-La Mancha),Higueruela,75,38.96,-1.44
Mallén,Zaragoza (Aragon),Mallén,15,41.883,-1.387
Malpica,La Coruna (Galicia),Malpica de Bergantiños,72,43.3,-8.89
Malpica Ampliación,La Coruna (Galicia),Malpica de Bergantiños,2,43.308,-8.893
Mamut,Granada (Andalucía),Padul,1,37.024,-3.631
Manchas Blancas,SC Tenerife (La Palma),La Villa de Mazo,6,28.552,-17.788
Mansilla de Burgos,Burgos (Castilla y Leon),Valle de Santibañez,0,42.483,-3.858
Manzanera,Castellon (Comunidad Valenciana),Olocau del Rey,17,40.64,-0.34
Mar de Agata,Offshore,,0,36.87,-1.84
Maranchon I,Guadalajara (Castilla-La Mancha),Maranchón,9,41.05,-2.2
Maranchon IV,Guadalajara (Castilla-La Mancha),Maranchón,24,41.05,-2.2
Maranchon Sur,Guadalajara (Castilla-La Mancha),"Maranchón, Luzón",6,41.03,-2.196
Mareiro,Lugo (Galicia),Ourol,20,43.56,-7.64
Marmellar,Burgos (Castilla y Leon),Pedrosa del Río Urbel ,33,42.405,-3.77
Mas de la Potra,Tarragona (Cataluna),Duesaigües i Pradell de la Teixeta,2,41.175,-0.901
Masgalán-Campo Do Coco,Pontevedra (Galicia),"Forcarei, Silleda",75,42.6,-8.267
Matabuey,Salamanca (Castilla y Leon),Garcihernández ,8,40.86,-5.432
Maza,Cuenca (Castilla-La Mancha),Olmedilla,33,39.636,-1.745
Mazorral y Rajola,Castellon (Comunidad Valenciana),"Barracas, El Toro",33,39.999,-0.72
Menaute,Málaga (Andalucía),Campillos ,19,37.047,-4.918
Merengue,Cáceres (Extremadura),Plasencia,15,40.037,-6.092
Mingorrubio I,Albacete (Castilla-La Mancha),Lezuza ,13,38.939,-2.295
Miñon,Lugo (Galicia),Vimianzo,6,43.108,-9.068
Mirabel,Valladolid (Castilla y Leon),"Valverde de Campos, Castromonte, Valdenebro de los Valles, La Mudarra",0,41.835,-5.038
MOJO,Offshore,,0,27.8,-15.32
Molar del Molinar,Albacete (Castilla-La Mancha),Peñas de San Pedro,75,38.73,-2.001
Molino de Arbolitas,Zaragoza (Aragon),Borja,1,41.83,-1.53
Molino de Carragüeyes,Zaragoza (Aragon),Borja,1,41.83,-1.53
Monasterio de Rodilla,Burgos (Castilla y Leon),Monasterio de Rodilla,8,42.466,-3.468
Moncayuelo,Navarra,Falces,32,42.442,-1.75
Monciro,Lugo (Galicia),"A Fonsagrada, Castroverde, Baleira, Ribeira de Piquín, Pol",12,43.08,-7.29
Monclues,Lleida (Cataluna),La Granadella ,15,41.357,-0.666
Mondoñedo,Lugo (Galicia),Mondoñedo ,31,43.452,-7.404
Monforte I,Teruel (Aragon),"Monforte de Moyuela, Loscos",5,41.069,-1.03
Monforte II,Teruel (Aragon),"Moyuela, Loscos",0,41.081,-1.046
Monlora I,Zaragoza (Aragon),"Luna, Sierra de Luna, Castejón de Valdejasa",4,42.166,-0.933
Monlora II,Zaragoza (Aragon),"Luna, Sierra de Luna",13,42.166,-0.933
Monlora III,Zaragoza (Aragon),Luna,13,42.166,-0.933
Monlora IV,Zaragoza (Aragon),"Las Pedrosas, Sierra de Luna",0,42.047,-0.908
Monlora V,Zaragoza (Aragon),Las Pedrosas,7,42.038,-0.881
Monseivane,Lugo (Galicia),"Abadín,Vilalba",46,43.33,-7.59
Montamarta,Zamora (Castilla y Leon),"Montamarta, Palacios del Pan, Andavías ",14,41.644,-5.877
Montaña de San Juan,SC Tenerife (Tenerife),,0,27.807,-17.915
Montaña Mina,SC Tenerife (Lanzarote),San Bartolomé ,5,28.998,-13.596
Montaña Pelada,Las Palmas (Canarias),Galdar,7,28.153,-15.682
Montaña Perros,Las Palmas (Canarias),Agüimes ,1,27.904,-15.442
Montaña San Francisco I,Las Palmas (Canarias),Agüimes ,5,27.87,-15.412
Montargull,Lleida (Cataluna),"Talavera (Lleida), Llorat (Tarragona) ",15,41.554,-1.375
Montargull Ampliacion,Lleida (Cataluna),"Talavera (Lleida), Llorat, Santa Coloma de Queralt (Tarragona) ",7,41.554,-1.375
Monte Arca ,Pontevedra (Galicia),"Cuntis, A Estrada ",3,42.633,-8.563
Monte Cabezas,Pontevedra (Galicia),Rodeiro,23,42.723,-7.886
Monte Carrio,Pontevedra (Galicia),"Lalín, Vila de Cruces",37,42.73,-8.14
Monte da Barda,La Coruna (Galicia),Ponteceso,2,43.243,-8.902
Monte das Aguas,La Coruna (Galicia),As Somozas,1,43.53,-7.9
Monte de Villajimena,Palencia (Castilla y Leon),Monzón de Campos,3,42.119,-4.49
Monte do Ceo,Pontevedra (Galicia),A Lama,3,42.39,-8.44
Monte Gordo,Huelva (Andalucía),"Ayamonte, Villablanca",24,37.304,-7.341
Monte Molón,Cuenca (Castilla-La Mancha),"Mira, Aliaguilla",35,39.705,-1.381
Monte Rande,La Coruna (Galicia),Ortigueira ,11,43.686,-7.852
Monte Redondo,La Coruna (Galicia),Vimianzo,66,43.12,-9.09
Monte Seixo,Pontevedra (Galicia),"A Lama, Forcarei, Cotobade",37,42.461,-8.395
Monte Seixo Ampliación,Pontevedra (Galicia),"A Lama, Forcarei, Cotobade",16,42.461,-8.395
Monte Tourado - Eixe,La Coruna (Galicia),Vimianzo,11,43.108,-9.09
Monte Treito,La Coruna (Galicia),"Lousame, Rois, Dodro, Rianxo",40,42.75,-8.78
Monteahumada I,Cadiz (Andalucía),Tarifa,3,36.01,-5.6
Montejo de Bricia,Burgos (Castilla y Leon),Alfoz de Bricia,16,42.9,-3.86
Montemayor Norte,Lugo (Galicia),"Alfoz, Abadin",28,43.44,-7.42
Montemayor Sur,Lugo (Galicia),Abadín,17,43.36,-7.48
Montero,Zaragoza (Aragon),Pedrola,30,41.786,-1.273
Montes de Abella,Lugo (Galicia),Láncara,5,42.811,-7.34
Montes de Cierzo I,Navarra,Tudela,41,42.067,-1.763
Montes de Cierzo II,Navarra,Tudela,44,42.067,-1.763
Montija,Burgos (Castilla y Leon),Merindad de Montija,28,43.09,-3.43
Montouto,Lugo (Galicia),Abadín,31,43.36,-7.48
Montouto 2000,Pontevedra (Galicia),"A Cañiza, Arbo, As Neves",53,42.148,-8.359
Morón de Almazán,Soria (Castilla y Leon),"Morón de Almazán, Adradas",25,41.389,-2.427
Morrablancar,Albacete (Castilla-La Mancha),Hoya Gonzalo,20,38.97,-1.58
Mostaza,Cadiz (Andalucía),Vejer de la Frontera ,9,36.337,-5.944
Motilla,Cuenca (Castilla-La Mancha),Motilla Del Palancar,21,39.562,-1.917
Motilla del Palancar,Cuenca (Castilla-La Mancha),,17,39.562,-1.917
Mouriños,La Coruna (Galicia),"Cabana de Bergantiños, Zas",0,43.193,-8.912
MPS demo - BiMEP,Offshore,,0,43.46,-2.89
Mudéfer,Tarragona (Cataluna),Caseres ,25,41.037,-0.282
Mudéfer II,Tarragona (Cataluna),Vall de la Conilla ,7,41.037,-0.282
Muel,Zaragoza (Aragon),Muel,27,41.46,-1.09
Muela,Albacete (Castilla-La Mancha),"Corralrubio, Chinchilla de Montearagón",69,38.764,-1.507
Muela Cubillo,Cuenca (Castilla-La Mancha),"Alcalá de la Vega, Algarra, Fuentelespino de Moya",25,40.025,-1.471
Muela de Santa Catalina - Cerro Negro,Valencia (Comunidad Valenciana),Aras de los Olmos,17,39.924,-1.133
Muela de Todolella,Castellon (Comunidad Valenciana),"Olocau del Rey, Todolella",27,40.641,-0.289
Muela de Tortosilla,Albacete (Castilla-La Mancha),Alpera,56,38.96,-1.23
Muela I,Cuenca (Castilla-La Mancha),"Sisante, Vara del Rey, Atalaya",33,39.458,-2.252
Multiplat 2,Offshore,,0,28.05,-15.35
Munera I,Albacete (Castilla-La Mancha),Munera,22,39.084,-2.427
Munera II,Albacete (Castilla-La Mancha),Munera,17,39.084,-2.427
Muniesa,Teruel (Aragon),Muniesa,14,41.032,-0.815
Munilla Ampliación,Logroño (La Rioja),"Munilla, Zarzosa, Robres del Castillo, Hornillos de Cameros, Arnedillo",5,42.206,-2.34
Munilla La-Santa,Logroño (La Rioja),"Hornillos, Munilla, Zarzosa",18,42.206,-2.34
Muras I,Lugo (Galicia),"Muras, Ourol",37,43.563,-7.721
Muras II,Lugo (Galicia),"Muras, Ourol",37,43.563,-7.721
Musica 4,Offshore,,0,27.65,-18.08
Muxía I,La Coruna (Galicia),Muxía,23,43.078,-9.241
Muxía II,La Coruna (Galicia),Muxía,11,43.078,-9.241
Nacimiento,Almeria (Andalucía),Nacimiento,12,37.125,-2.665
Nautilus (ES),Offshore,,0,43.59,-2.85
Navas del Marqués,Avila (Castilla y Leon),Las Navas del Marqués,16,40.64,-4.38
Navazuelo,Avila (Castilla y Leon),Las Navas del Marqués,26,40.63,-4.35
Navillas,Valladolid (Castilla y Leon),"La Mudarra, Valdenebro de los Valles, Valladolid, Villalba de los Alcores",0,41.833,-4.894
Neda,Lugo (Galicia),"Abadin, A Pastoriza",10,43.359,-7.478
Nerea,Zamora (Castilla y Leon),"Requejo, Pedralba de la Pradería",53,41.983,-6.764
Nogueira,Ourense (Galicia),"Bande, Verea ",2,42.413,-7.726
Nordés,Lugo (Galicia),"Muros, Valadouro",27,43.581,-7.468
Nordes Phase 1,Offshore,,0,44.13,-8.45
Nordes Phase 2,Offshore,,0,44.13,-8.45
Novo,La Coruna (Galicia),"Valdoviño, Narón",25,43.584,-8.121
O Barrigoso,La Coruna (Galicia),Vimianzo,2,43.11,-9.03
O Chao,Lugo (Galicia),"Ourol, Muras",4,43.522,-7.614
Oiz,Vizcaya (Euskadi),"Mallabia, Berriz",40,43.216,-2.578
Ojos Albos,Avila (Castilla y Leon),Ojos Albos,22,40.71,-4.5
Oncala,Soria (Castilla y Leon),Oncala,33,41.97,-2.31
Os Corvos,La Coruna (Galicia),Cedeira,17,43.69,-7.96
Otero y Peña la Cuesta,Burgos (Castilla y Leon),Los Altos,10,42.78,-3.65
Ourol,Lugo (Galicia),Ourol,22,43.565,-7.642
Outes,La Coruna (Galicia),Sierra de Outes,21,42.83,-8.95
P.E. Centro de Control Canarias,Las Palmas (Canarias),,1,27.934,-15.392
Padornelo,Zamora (Castilla y Leon),"Padornelo, Aciberos",37,42.059,-6.841
Padornelo Ampliación,Zamora (Castilla y Leon),Lubián ,9,42.059,-6.841
Padrón,La Coruna (Galicia),Padrón,2,42.74,-8.66
Padul,Granada (Andalucía),Padul ,11,36.991,-3.687
Palomarejo,Sevilla (Andalucía),Écija,15,37.46,-5.15
Paradela,Lugo (Galicia),Paradela,0,42.765,-7.57
Páramo de Poza I,Burgos (Castilla y Leon),Poza de la Sal,66,42.68,-3.58
Páramo de Poza I Ampliación,Burgos (Castilla y Leon),Poza de la Sal ,1,42.665,-3.501
Páramo de Poza II,Burgos (Castilla y Leon),Poza de la Sal,67,42.66,-3.56
Páramo de Vega,Burgos (Castilla y Leon),"Valle de Santibáñez, Huérmeces ",9,42.517,-3.787
Páramo los Angostillos,Palencia (Castilla y Leon),"Hornillos de Cerrato, Baltanás",13,41.975,-4.254
Parc Eolic Almatret,Lleida (Cataluna),Almatret ,25,41.305,-0.402
Parideras,Soria (Castilla y Leon),"Beltejar, Medinaceli",11,41.224,-2.469
Parque Concasur,Las Palmas (Canarias),Agüimes,1,27.901,-15.448
Parque Enercon,SC Tenerife (Tenerife),,11,28.078,-16.521
Parque Eólico Experimental Cerros Pelaos,Granada (Andalucía),Padul,1,37.021,-3.626
Parque Eólico Experimental San José,Granada (Andalucía),Huéneja,1,37.178,-2.947
Parque Eólico Experimental Vestas Cantabria,Cantabria,Reinosa,1,42.96,-4.097
Pasada de Tejeda,Cadiz (Andalucía),Tarifa,6,36.172,-5.736
Pastoriza-Rodeiro,Lugo (Galicia),Arteixo,14,43.289,-8.505
Paxareiras I (Paxareiras-Montevós),La Coruna (Galicia),"Mazaricos, Muros",34,42.86,-9.06
Paxareiras II (Paxareiras-Montevós),La Coruna (Galicia),"Muros, Carnota",32,42.82,-9.09
Pebesa (Baix Ebre),Tarragona (Cataluna),Tortosa,27,40.81,-0.52
Pedra Chantada,Lugo (Galicia),"Muras, Ourol",33,43.52,-7.67
Pedregal Tremuzo I,La Coruna (Galicia),Muros,36,42.838,-9.056
Pedregal Tremuzo II,La Coruna (Galicia),Muros,7,42.838,-9.056
Pedregoso A,Cadiz (Andalucía),Tarifa,9,36.01,-5.6
Pedregoso B,Cadiz (Andalucía),Tarifa,9,36.01,-5.6
Pedregoso D,Cadiz (Andalucía),Tarifa,9,36.01,-5.6
Pedrola,Zaragoza (Aragon),Pedrola,0,41.789,-1.227
PEI Villanueva,Asturias,Villanueva de Oscos,0,43.354,-6.97
Peña Alta,Burgos (Castilla y Leon),Merindad de Valdivieso ,41,42.84,-3.6
Peña Alta Ampliación,Burgos (Castilla y Leon),Los Altos,4,42.78,-3.65
Pena Armada,Lugo (Galicia),"Friol, Palas de Rei",23,42.95,-7.82
Peña Blanca Area Experimental,Navarra,Tafalla ,1,42.54,-1.631
Peña Blanca I,Navarra,Leoz,22,42.54,-1.644
Peña Blanca II,Navarra,"Leoz, Tafalla ",54,42.54,-1.644
Pena da Cruz,Ourense (Galicia),Chandrexa de Queixa,15,42.26,-7.38
Pena da Cruz Ampliación,Ourense (Galicia),Chandrexa de Queixa,12,42.26,-7.38
Pena da Loba,La Coruna (Galicia),"As Pontes, Mañón",37,43.348,-7.883
Peña del Cuervo,Asturias,"Las Regueras, Candamo e Illas",8,43.458,-6.001
Peña del Gato,Leon (Castilla y Leon),"Torre del Bierzo, Villagatón e Igüeña ",25,42.664,-6.217
Peña el Santo,Palencia (Castilla y Leon),Aguilar de Campo,1,42.793,-4.262
Pena Forcada,La Coruna (Galicia),Camariñas,26,43.15,-9.2
Pena Forcada-Catasol II,La Coruna (Galicia),Laxe,2,43.21,-9.016
Peña Galluda,La Coruna (Galicia),Laracha,1,43.25,-8.58
Pena Grande,Lugo (Galicia),"Muras, Ourol",26,43.52,-7.67
Peña I,Guadalajara (Castilla-La Mancha),Tartanedo ,8,41.015,-1.852
Peña II,Guadalajara (Castilla-La Mancha),"Tartanedo, Fuente Elsaz ",9,41.015,-1.852
Pena Luisa,Lugo (Galicia),"Muras, Ourol",33,43.52,-7.67
Peña Miján,Palencia (Castilla y Leon),Aguilar del Campoo,3,42.793,-4.262
Peña Nebina,Zamora (Castilla y Leon),Ferreruela,10,41.782,-6.064
Peña Roldana,Zamora (Castilla y Leon),Santa Eufemia del Barco ,22,41.666,-5.93
Pena Ventosa,Lugo (Galicia),"Viveiro, O Vicedo, Ourol",28,43.655,-7.669
Pena Ventosa Reformado,Lugo (Galicia),O Vicedo,4,43.73,-7.67
Peñaflor III,Valladolid (Castilla y Leon),"La Mudarra, Castromonte, Peñaflor de Hornija",30,41.781,-4.943
Peñaflor IV,Valladolid (Castilla y Leon),Peñaflor de Hornija,30,41.711,-4.983
Peñas de Dios I,Valencia (Comunidad Valenciana),Andilla,26,39.786,-0.895
Peñas de Dios II,Valencia (Comunidad Valenciana),"Andilla, Chelva, Calles",19,39.786,-0.895
Penas Grandes,Lugo (Galicia),"Carballedo (Lugo), Rodeiro (Pontevedra)",9,42.597,-7.912
Penouta,Asturias,Boal,7,43.45,-6.826
PES Cerceda,La Coruna (Galicia),Cerceda,2,43.19,-8.472
PESUR (Repotenciado),Cadiz (Andalucía),Tarifa,21,36.019,-5.603
Picador,Zaragoza (Aragon),Rueda de Jalón,0,41.634,-1.278
Picazo,Guadalajara (Castilla-La Mancha),"Milmarcos, Fuente Elsaz ",7,41.075,-1.852
Pico Collalbas,Cuenca (Castilla-La Mancha),"Villar del Humo, Henarejos",15,39.848,-1.497
Pico Gallo,Asturias,Tineo,37,43.397,-6.396
Piedras del Alto,Segovia (Castilla y Leon),"Aldeanueva de la Serrezuela, Navares de Enmedio, Navares de las Cuevas, Pradales",40,41.45,-3.75
Piletas 1,Las Palmas (Canarias),Piletas,7,28.092,-15.489
Pivot Buoy - PLOCAN,Offshore,,0,28.05,-15.38
Plá d´Embalagué,Castellon (Comunidad Valenciana),Portell de Morella,25,40.53,-0.26
Plana de Jarreta,Zaragoza (Aragon),La Muela,66,41.58,-1.12
Plana de la Balsa,Zaragoza (Aragon),"Cadrete, María",32,41.55,-0.98
Plana de María,Zaragoza (Aragon),María de Huerva,32,41.54,-0.996
Plana de Zaragoza,Zaragoza (Aragon),La Muela,32,41.58,-1.12
Planas de Pola (Tauste),Zaragoza (Aragon),"Tauste, Pradilla de Ebro",54,41.884,-1.104
Plat. Eólica Granadilla,SC Tenerife (Tenerife),Granadilla de Abona ,0,28.12,-16.577
Plocan,Offshore,,5,28.04,-15.36
PLOCAN hybrid floating,Offshore,,0,28.64,-15.59
PLOCAN W2Power WIP10 Scale prototype,Offshore,,1,28.04,-15.37
Poblacion de Carrato-Fase I,Palencia (Castilla y Leon),Cerrato,1,41.792,-4.434
Pobra do Caramiñal,La Coruna (Galicia),Pobra do Caramiñal,1,42.603,-8.939
Polígono Sabón (Inditex),La Coruna (Galicia),Arteixo,1,43.3,-8.51
Ponte Rebordelo,La Coruna (Galicia),Dumbría,31,43.01,-9.12
Poris de Abona,SC Tenerife (Tenerife),Arico,0,28.152,-16.48
Portachuelo,Albacete (Castilla-La Mancha),Romica,53,39.06,-1.83
Portelrubio,Soria (Castilla y Leon),"Fuentelsaz de Soria, Almarza",6,41.866,-2.417
Portillo 2 Fase 1,Zaragoza (Aragon),"María de Huerva, La Muela",0,41.54,-0.996
Portillo 2 Fase 2,Zaragoza (Aragon),María de Huerva,0,41.54,-0.996
Porto do Son,La Coruna (Galicia),Porto do Son,1,42.725,-9.006
Pousadoiro ,Lugo (Galicia),"Pontenova, A Pastoriza, Riotorto ",12,43.309,-7.25
Pozalmuro I+D,Soria (Castilla y Leon),Pozalmuro,1,41.77,-2.1
Pozocañada,Albacete (Castilla-La Mancha),Pozocañada,37,38.772,-1.739
Préjano,Logroño (La Rioja),"Préjano, Enciso",35,42.148,-2.197
Primoral,Zaragoza (Aragon),"Alfajarín, Villamayor de Gállego",12,41.645,-0.739
Prototipo experimental NED100,Lugo (Galicia),Villalba,3,43.671,-7.41
Pucheruelo,Avila (Castilla y Leon),San Juan de la Nava,27,40.479,-4.682
Puerto de Málaga Ampliacion,Málaga (Andalucía),"Ardales, Carratraca ",7,36.862,-4.831
Puerto des Rosario - Consumo Asociado,Las Palmas (Fuerteventura),Puerto del Rosario,1,28.503,-13.878
Puerto Escandón,Teruel (Aragon),Puerto de Escandón,13,40.321,-0.956
Puerto Facinas,Cadiz (Andalucía),Tarifa,6,36.019,-5.603
Pujalt,Tarragona (Cataluna),"Pujalt, Calonge de Segarra ",21,41.717,-1.451
Punago,Lugo (Galicia),"A Fonsagrada, Castroverde, Baleira, Ribeira de Piquín, Pol",46,43.08,-7.29
Punta,Las Palmas (Canarias),Santa Lucía de Tirajana ,11,27.913,-15.541
Punta Gaviota,Las Palmas (Canarias),Santa Lucía de Tirajana ,11,27.913,-15.541
Punta Grande,Las Palmas (Canarias),Arrecife,2,28.978,-13.519
Punta Lucero,Vizcaya (Euskadi),"Puerto de Bilbao, Zierbena",5,43.375,-3.089
Punta Teno,SC Tenerife (Tenerife),Tenerife,6,28.361,-16.909
Puntaza de Remolinos,Zaragoza (Aragon),Remolinos,18,41.84,-1.18
Puylobo,Zaragoza (Aragon),"Borja, Mallén",14,41.871,-1.483
Quintanilla,Burgos (Castilla y Leon),Merindad de Río Ubierna ,10,42.59,-3.672
Quintanilla Sobresierra,Soria (Castilla y Leon),Merindad de Río Ubierna,1,42.551,-3.683
Rabinaldo,Burgos (Castilla y Leon),Merindad de rio Ubierna,6,42.591,-3.705
Rabosera,Huesca (Aragon),Sierra de Luna,19,42.083,-0.837
Radona I,Soria (Castilla y Leon),"Adrada, Alcubilla de las Peñas ",12,41.296,-2.471
Radona II,Soria (Castilla y Leon),"Adrada, Alcubilla de las Peñas ",16,41.296,-2.471
Rancho Viejo,Cadiz (Andalucía),"Medina, Sidonia",8,36.463,-5.945
Raposeras,Logroño (La Rioja),"Pradejón, Calahorra",26,42.3,-2.01
Refachón,Lugo (Galicia),Abadín,28,43.36,-7.48
Refoyas,Castellon (Comunidad Valenciana),"Forcall, Todolella",33,40.648,-0.221
Requeixo,La Coruna (Galicia),As Somozas,7,43.517,-7.881
Reventones,Murcia,Jumilla,17,38.686,-1.404
Rincón del Cabello,Valencia (Comunidad Valenciana),Ayora,20,39.031,-1.143
Río Almodóvar,Cadiz (Andalucía),Tarifa,16,36.01,-5.6
Río Gallego,Huesca (Aragon),Gurrea de Gállego,43,42.011,-0.679
Rioboo,Lugo (Galicia),"Concello de Xove, Concello de Viveiro",16,43.652,-7.551
Roalabota,Cadiz (Andalucía),Jeréz de la Frontera ,19,36.687,-6.137
Robres,Huesca (Aragon),Robres,13,41.868,-0.533
Rodal,Palencia (Castilla y Leon),Fuentes de Valdepero,3,42.078,-4.461
Roden (ES),Zaragoza (Aragon),Fuentes de Ebro,0,41.511,-0.633
Rodera Alta,Salamanca (Castilla y Leon),"Santiz, Valdelosa, Zamayón",17,41.148,-5.831
Romerales I,Zaragoza (Aragon),Zaragoza,0,41.45,-0.983
Romerales II,Zaragoza (Aragon),Zaragoza,0,41.45,-0.983
Sabina,Albacete (Castilla-La Mancha),"Pozohondo, Hellín, Liétor ",24,38.632,-1.925
Sahariano,Offshore,,0,27.86,-15.35
Salajones,Navarra,"Aibar, Lumbier",29,42.608,-1.308
Salinas del Matorral,Las Palmas (Canarias),San Bartolomé de Tirajana ,2,27.802,-15.446
Salinas del Matorral Ampliación,Las Palmas (Canarias),San Bartolomé de Tirajana,1,27.802,-15.446
Salinetas,Las Palmas (Canarias),Telde,0,27.996,-15.43
Salomón,Valencia (Comunidad Valenciana),Enguera,25,38.986,-0.764
San Adrián,Palencia (Castilla y Leon),Fuentes de Valdepero,2,42.06,-4.49
San Agustín,Teruel (Aragon),"Azaila, Almochuel, Vinaceite",0,41.272,-0.536
San Bartolomé,Las Palmas (Canarias),San Bartolomé de Tirajana,4,27.802,-15.446
San Blas I,Valladolid (Castilla y Leon),"Castromonte, Valverde de Campos",0,41.807,-5.03
San Borondón,Offshore,,0,27.84,-15.34
San Brandan,Offshore,,0,43.95,-7.99
San Cibrao,Offshore,,0,43.97,-7.67
San Ciprián,Zamora (Castilla y Leon),"Lubián, Hermisende",21,41.996,-6.9
San Cristóbal de Aguilón,Zaragoza (Aragon),Aguilón,25,41.308,-0.992
San Esteban I A,Navarra,"Anorbe, Tirapu",37,42.639,-1.711
San Esteban I B - Egastiaga,Navarra,Artajona,4,42.626,-1.744
San Esteban II A - Añorbe,Navarra,"Anorbe, Tirapu",13,42.635,-1.726
San Esteban II B - Olcoz,Navarra,"Biurrun-olcoz, Unzué",8,42.605,-1.696
San Esteban II C - Caraquidoya,Navarra,"Barásoaian del Añorbe, Artajona",10,42.647,-1.668
